Date,US,CA,Spain,Thailand,India,Japan,British
2017-1,0.023183749,0.002861246,0.00115588,0.000712443,0.000794864,0.002920493,0.001022775
2017-2,0.023570332,0.003002416,0.001219431,0.000727201,0.000801799,0.002971874,0.001168822
2017-3,0.023333563,0.002904262,0.001194341,0.000746058,0.00098279,0.0027292,0.001084985
2017-4,0.023056808,0.002793306,0.001264621,0.000906899,0.000913403,0.003260592,0.001096935
2017-5,0.02250255,0.002939574,0.001298233,0.001082671,0.001062422,0.002847938,0.001005615
2017-6,0.021001526,0.002631007,0.001183786,0.000787794,0.000794385,0.002972033,0.00117468
2017-7,0.022654901,0.002834231,0.001173468,0.000750212,0.000884188,0.002993378,0.001098442
2017-8,0.02169053,0.002667435,0.001076234,0.000746193,0.000818668,0.003329992,0.001148104
2017-9,0.021508481,0.002517195,0.001157618,0.000767723,0.000871747,0.003486375,0.001284101
2017-10,0.022834021,0.002626745,0.001170955,0.000783871,0.000906537,0.003181596,0.00122821
2017-11,0.022965971,0.002477013,0.001140322,0.000829417,0.00089429,0.003160305,0.001322752
2017-12,0.023531892,0.002570828,0.001264741,0.000836819,0.000899279,0.003094528,0.001233072
2018-1,0.024410216,0.002590898,0.001519822,0.00089544,0.001156845,0.003251788,0.001126638
2018-2,0.025651277,0.002615448,0.00157227,0.000916634,0.001150023,0.002790406,0.001182186
2018-3,0.022374435,0.002537328,0.001361788,0.000723571,0.000871083,0.00321911,0.001279097
2018-4,0.022819052,0.002673787,0.001349662,0.000749887,0.001054125,0.003472488,0.001338814
2018-5,0.022051279,0.0026369,0.001222264,0.00072468,0.000866291,0.003609134,0.00140031
2018-6,0.022571072,0.002680307,0.001183169,0.000721656,0.00083577,0.003684187,0.001621815
2018-7,0.023793284,0.002406199,0.001172464,0.000706755,0.000940171,0.003780152,0.001478541
2018-8,0.024132125,0.00273883,0.001283365,0.000701376,0.000904678,0.003925087,0.001417804
2018-9,0.023158544,0.002498951,0.001153947,0.000666018,0.000824193,0.003593425,0.001398349
2018-10,0.02402279,0.002550614,0.001228398,0.000656407,0.000852057,0.004046469,0.001609067
2018-11,0.025242862,0.002675065,0.001303281,0.000669232,0.000880804,0.003710061,0.001499434
2018-12,0.025680539,0.002759973,0.001473137,0.00078689,0.000881976,0.003823089,0.001564352
2019-1,0.027501461,0.00309391,0.001565032,0.000875488,0.000852094,0.004502772,0.001735071
2019-2,0.038707754,0.005022662,0.001956266,0.001254049,0.001490123,0.006245559,0.002417875
2019-3,0.034886574,0.003729127,0.001709213,0.001134087,0.001163842,0.00480912,0.001936199
2019-4,0.028343321,0.002833772,0.001204924,0.000729407,0.000712615,0.004299081,0.002003189
2019-5,0.020677915,0.001918688,0.000918983,0.00049773,0.000599073,0.002674187,0.001295133
2019-6,0.020219053,0.002681413,0.000946048,0.000552216,0.000662449,0.003896129,0.001312171
2019-7,0.021765682,0.002365977,0.000905952,0.000608901,0.000702945,0.003534086,0.001388401
2019-8,0.019823922,0.002045433,0.00093229,0.000535329,0.000653038,0.003251988,0.001483562
2019-9,0.021373714,0.002166469,0.001080063,0.000629012,0.000811454,0.003228698,0.001418054
2019-10,0.021810395,0.002142588,0.001124694,0.000655964,0.000779032,0.003263645,0.001430593
2019-11,0.021342442,0.002209269,0.000972291,0.000565776,0.000701009,0.003753574,0.001570175
2019-12,0.021204488,0.002105007,0.00092,0.000525202,0.000696873,0.003464245,0.001436089
2020-01,0.024356109,0.002119365,0.000989247,0.000629675,0.00079912,0.003424423,0.00143454
2020-02,0.023614623,0.002086919,0.000969956,0.000609157,0.000823476,0.003423435,0.00132024
2020-03,0.023985394,0.001969662,0.00085492,0.000499881,0.000638507,0.003626624,0.001421274
2020-04,0.024655418,0.002103004,0.000954603,0.000499924,0.000661397,0.003708314,0.001536758
2020-05,0.025742931,0.002106107,0.000927576,0.000599962,0.00069879,0.003651412,0.001420474
